simulation,wins,losses,actual_win_rate,final_capital,total_return,max_drawdown,max_losing_streak,profitable
953,413,387,0.51625,8797.676567743556,-0.12023234322564436,-0.3446485573676298,11,False
954,414,386,0.5175,9013.572493740436,-0.0986427506259564,-0.37847710680416813,11,False
955,437,363,0.54625,15742.116874495876,0.5742116874495875,-0.30481618416827827,8,True
956,406,394,0.5075,7424.466336829092,-0.2575533663170908,-0.4325418038437381,7,False
957,416,384,0.52,9461.388689398613,-0.05386113106013868,-0.2741126368425276,6,False
958,412,388,0.515,8586.951848933899,-0.14130481510661008,-0.3566032100256803,8,False
959,424,376,0.53,11486.47040398228,0.14864704039822785,-0.36079370812276557,8,True
960,398,402,0.4975,6115.521944821463,-0.38844780551785374,-0.5395837919327819,9,False
961,426,374,0.5325,12057.146180032669,0.20571461800326696,-0.28285105002484157,6,True
962,427,373,0.53375,12353.029839698143,0.23530298396981442,-0.3320947172440424,6,True
963,415,385,0.51875,9234.76652890316,-0.07652334710968411,-0.3224419392190009,7,False
964,406,394,0.5075,7424.466336829108,-0.25755336631708925,-0.3771205410437486,7,False
965,421,379,0.52625,10680.699719315497,0.06806997193154962,-0.3968799062625321,10,True
966,406,394,0.5075,7424.466336829109,-0.257553366317089,-0.4396454905186802,12,False
967,419,381,0.52375,10175.172415418705,0.01751724154187051,-0.21129461122748283,9,True
968,411,389,0.51375,8381.274474928963,-0.16187255250710364,-0.34587033607657225,8,False
969,419,381,0.52375,10175.172415418692,0.017517241541869177,-0.28602290173296163,9,True
970,416,384,0.52,9461.388689398604,-0.05386113106013968,-0.31475933896771435,9,False
971,408,392,0.51,7793.331875111492,-0.22066681248885078,-0.29108405187876263,9,False
972,408,392,0.51,7793.331875111528,-0.22066681248884723,-0.42458753193537013,8,False
973,443,357,0.55375,18206.93817830929,0.8206938178309291,-0.1533926022463893,6,True
974,417,383,0.52125,9693.572182004285,-0.030642781799571472,-0.3228632607339246,10,False
975,404,396,0.505,7073.059542446313,-0.2926940457553687,-0.3802610596960806,8,False
976,446,354,0.5575,19580.501467902617,0.9580501467902618,-0.15321105299976723,7,True
977,406,394,0.5075,7424.466336829089,-0.257553366317091,-0.4404942128122623,8,False
978,414,386,0.5175,9013.572493740414,-0.09864275062595862,-0.37389234648015934,9,False
979,436,364,0.545,15365.056735230244,0.5365056735230245,-0.21588237843128755,8,True
980,390,410,0.4875,5037.346384355164,-0.49626536156448353,-0.5696538314243539,8,False
981,420,380,0.525,10424.872237171541,0.04248722371715408,-0.30114351670632267,8,True
982,427,373,0.53375,12353.029839698182,0.2353029839698182,-0.401993707111144,8,True
983,422,378,0.5275,10942.805235293528,0.0942805235293529,-0.28011302848159947,8,True
984,411,389,0.51375,8381.274474928954,-0.16187255250710464,-0.30137343195033184,7,False
985,418,382,0.5225,9931.453482406334,-0.0068546517593666145,-0.27556434895350423,8,False
986,417,383,0.52125,9693.572182004264,-0.030642781799573693,-0.5191561319680358,6,False
987,413,387,0.51625,8797.676567743558,-0.12023234322564424,-0.4212331660327294,7,False
988,436,364,0.545,15365.05673523031,0.5365056735230309,-0.3124774621783023,9,True
989,425,375,0.53125,11768.349618932683,0.1768349618932683,-0.20278512313399844,7,True
990,396,404,0.495,5826.068687831515,-0.4173931312168485,-0.4923824846681065,6,False
991,422,378,0.5275,10942.805235293506,0.09428052352935068,-0.2709296584595573,7,True
992,428,372,0.535,12656.174516087713,0.26561745160877126,-0.2211233289903749,7,True
993,399,401,0.49875,6265.597508871176,-0.3734402491128824,-0.40668261341476497,9,False
994,428,372,0.535,12656.174516087713,0.26561745160877126,-0.23045553871932034,10,True
995,409,391,0.51125,7984.581074695315,-0.2015418925304685,-0.4425583485768644,8,False
996,413,387,0.51625,8797.676567743587,-0.12023234322564136,-0.42716533313824934,7,False
997,427,373,0.53375,12353.02983969816,0.23530298396981597,-0.318399516045516,7,True
998,394,406,0.4925,5550.315518706201,-0.44496844812937986,-0.6386360229829235,12,False
999,421,379,0.52625,10680.699719315508,0.06806997193155073,-0.2858288655976827,6,True
